,VOO,XLF,MDY,VDC,DE,FISV,VRTX,UPST,DKNG,META,LEU,REXR,ATKR,LNSTY,BALL,SND,VIRT,GNRC,MTN,PERI
1/29/2021,-0.02002131766,-0.01997291808,-0.01936137394,-0.02141516076,-0.01419989077,-0.02432304038,-0.004173187272,-0.04543361474,-0.03667438134,-0.02516981132,-0.06102635229,0.001022704029,-0.04003462454,0.007978723404,-0.002719238613,-0.02150537634,0.03042671614,-0.02573834658,-0.005757009346,-0.03328894807
2/1/2021,0.01643247692,0.01312607945,0.02098788619,0.001259068289,0.01180747922,0.03710195735,0.01174262266,0.12960283,0.009794862318,0.0142453451,0.08567208272,0.04086636698,0.03944995491,0.05079155673,0.01590547603,0.02197802198,0.06733885488,0.04995536077,-0.01552865092,0.03787878788
2/2/2021,0.01437371663,0.02420729628,0.01223269717,0.008383233533,0.03535128846,0.03305164319,-0.06230314536,0.07430604982,0.08546852123,0.01935040647,-0.01950113379,0.005300353357,0.1643895034,0.02667922159,0.01218966674,0.0376344086,-0.05600539811,0.03192517296,0.01497154642,0.01061712011
2/3/2021,0.0009978901751,0.005659121172,0.0002044432329,0.002790973872,-0.004627487274,0.00163606617,-0.02912621359,0.056711276,0.01348845051,-0.001610004493,0.1392229417,-0.03202499512,0.005401378283,-0.02078874962,0.004971826318,0.0621761658,-0.01393852752,-0.01007528372,0.04048918156,0.02101116218
2/4/2021,0.01119371101,0.02217808673,0.01414912221,0.006869189317,0.02699740984,0.01851179673,0.0128436019,-0.05015673981,0.05074030943,-0.0006000375023,0.07592367032,0.001613879363,0.02074842534,0.01998126756,-0.0226473175,-0.01463414634,-0.00471185212,-0.007794173288,0.01562330476,0.07652733119
2/5/2021,0.003999774661,0.0003238341969,0.01070452815,0.009174851497,-0.00009700261907,-0.0001781895937,0.007252819241,-0.006732673267,0.01124129196,0.006041502495,-0.01622641509,0.007049345418,0.06243194192,0.009182736455,0.005511811024,0.00495049505,0.006554989075,0.03180292862,0.002278958801,0.2204301075
2/8/2021,0.007378520929,0.01294917449,0.01564300275,0.006702022262,0.02522312767,0.0105150597,-0.004134534981,0.0101010101,-0.02974792547,-0.005669526296,0.05983889528,-0.0024,0.06952511104,0.01789505611,0.003691688108,0.1527093596,0.01157742402,0.03111833838,0.01708885494,0.04503181596
2/9/2021,-0.000807641964,0.0003195909236,0.002988786596,0.0004631237698,-0.005393641181,0.0004409171076,-0.002565657508,0.05592105263,0.002581894465,0.01076599895,-0.01556279406,0.001603849238,-0.01357610605,0.009833134684,-0.01036558181,0.1794871795,0.002503576538,-0.0123297491,-0.01128266033,0.1358313817
2/10/2021,-0.0003902112715,0,-0.0008482871126,-0.001504455503,-0.005359464688,-0.0355222565,-0.006033111963,0.1344548287,0.009335264767,0.008981258118,-0.05992647059,0.00840672538,0.004857512953,-0.003835939805,0.01261403311,-0.007246376812,0.0367463432,0.007185367978,0.01978449037,-0.01030927835
2/11/2021,0.001617220611,-0.003194888179,0.006160745385,-0.003187297172,0.002614462441,-0.008590751234,-0.009551592716,0.04492530756,-0.0561313985,-0.005443778276,-0.02581149785,0.007542675665,-0.005478569127,0.00740521327,-0.01534868202,-0.04744525547,-0.04439091535,0.1389709591,-0.006686298285,-0.03083333333
2/12/2021,0.005094371137,0.01025641026,0.00300742119,0.001104586943,-0.004642879858,0.01391961652,0.01653206651,0.07410911384,0.03176212198,0.0004068197788,-0.04696908872,0.0145784082,0.00842514582,0.01734783887,0.01298994691,0.09961685824,-0.01836514224,0.03394388029,0.002267020089,-0.01332760103
2/16/2021,-0.0009416978258,0.0171319797,-0.001704128737,-0.002032520325,0.01306709265,0.001909264479,-0.01733806898,-0.09688784498,-0.009333551662,0.01282809612,0.06529064869,-0.004854368932,0.01654884319,0.01242774566,0.005575379126,0.1289198606,0.06859867938,0.07248194835,0.04572502349,0.01045751634
